assists,bonus,bps,clean_sheets,creativity,unique_id,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,gameweek,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,POS,Full Name,own_team,opponent_short_name,opponent_attack,opponent_defense,own_short_name,own_attack,own_defense,crowds,season
0,0,0,0,0.0,1147,5,0,0,0.0,0.0,2021-08-14 14:00:00+00:00,0,20,0,0,0,0,1,0,14368,0,1,0.0,0,0,0,0,55,True,0,3,Marc Albrighton,9,WOL,1160,1100,LEI,1100,1150,1,2021
0,0,0,0,0.0,1147,20,0,0,0.0,0.0,2021-08-23 19:00:00+00:00,0,19,0,0,0,0,2,0,14371,1,4,0.0,0,-2256,921,3177,55,False,0,3,Marc Albrighton,9,WHU,1110,1160,LEI,1080,1160,1,2021
0,1,26,0,5.6,1147,26,1,1,6.4,39.6,2021-08-28 14:00:00+00:00,90,15,0,0,0,0,3,0,13185,2,1,19.0,7,-1800,776,2576,54,False,1,3,Marc Albrighton,9,NOR,1040,1040,LEI,1080,1160,1,2021
0,0,8,0,36.3,1147,37,1,0,4.5,9.0,2021-09-11 14:00:00+00:00,90,12,0,0,0,0,4,0,18889,1,0,0.0,2,3448,6809,3361,54,True,0,3,Marc Albrighton,9,MCI,1360,1360,LEI,1100,1150,1,2021
0,0,0,0,0.0,1147,42,0,0,0.0,0.0,2021-09-19 13:00:00+00:00,0,4,0,0,0,0,5,0,20655,1,2,0.0,0,1227,4702,3475,54,False,0,3,Marc Albrighton,9,BHA,1160,1100,LEI,1080,1160,1,2021
0,0,0,0,0.0,1147,57,0,0,0.0,0.0,2021-09-25 14:00:00+00:00,0,5,0,0,0,0,6,0,19012,2,2,0.0,0,-1857,1340,3197,54,True,0,3,Marc Albrighton,9,BUR,1130,1100,LEI,1100,1150,1,2021
0,0,4,0,0.0,1147,64,0,0,0.2,2.0,2021-10-03 13:00:00+00:00,10,7,0,0,0,0,7,0,16792,2,2,0.0,1,-2347,383,2730,54,False,0,3,Marc Albrighton,9,CRY,1110,1080,LEI,1080,1160,1,2021
0,0,0,0,0.0,1147,75,0,0,0.0,0.0,2021-10-16 14:00:00+00:00,0,13,0,0,0,0,8,0,15716,2,4,0.0,0,-1287,463,1750,54,True,0,3,Marc Albrighton,9,MUN,1190,1200,LEI,1100,1150,1,2021
0,0,0,0,0.0,1147,82,0,0,0.0,0.0,2021-10-24 13:00:00+00:00,0,3,0,0,0,0,9,0,14622,2,1,0.0,0,-1181,240,1421,53,False,0,3,Marc Albrighton,9,BRE,1120,1080,LEI,1080,1160,1,2021
0,0,0,0,0.0,1147,93,0,0,0.0,0.0,2021-10-30 11:30:00+00:00,0,1,0,0,0,0,10,0,11923,2,0,0.0,0,-2669,20,2689,53,True,0,3,Marc Albrighton,9,ARS,1210,1220,LEI,1100,1150,1,2021
